"FOR_TYPE","Category","id","lon","lat","FOR_CAT","FOREST","arf28","ase28","amaxt28","amint28","dist_cfa","dist_camp","aws_m1","dist_road","year","month","day"
"Eucalypt Tall Open","lightning",437,148.16,-36.7,"Native forest",1,2.985714286,19.81785714,24.61785714,12.08214286,25529.83243,27387.51551,4.728444759,5918.09537,2019,12,30
"Eucalypt Medium Woodland","accident",438,148.14,-36.81,"Native forest",1,2.985714286,19.81785714,24.61785714,12.08214286,37230.21878,36378.98211,4.728444759,180.6818837,2019,12,30
"Non forest","accident",439,147.6999967,-37.79333333,"Non forest",0,1.671428571,21.73928571,26.71071429,14.06785714,2762.964428,14544.90378,5.473166448,627.1536285,2019,12,30
"Non forest","lightning",440,148.13,-37.57999,"Non forest",0,2.75,20.2,25.71428571,14.925,9615.402282,13200.71242,4.590803453,82.54088038,2019,12,30
"Eucalypt Mallee Woodland","lightning",441,141.3999967,-35.42,"Native forest",1,0.207142857,25.73214286,36.17857143,17.94642857,20734.64525,12335.09796,5.276927255,1280.606384,2019,12,30
"Eucalypt Medium Woodland","lightning",442,147.86,-36.14,"Native forest",1,2.196428571,22.46071429,31.39285714,15.12142857,7388.250766,11482.07266,4.728444759,842.3341144,2019,12,30
"Eucalypt Tall Open","lightning",443,148.48,-37.61,"Native forest",1,2.15,20.30714286,26.47142857,15.44285714,10462.7918,6051.143708,4.590803453,223.6695718,2019,12,30
"Eucalypt Medium Open","lightning",444,148.6824975,-37.6175,"Native forest",1,2.15,20.30714286,26.47142857,15.44285714,23949.57943,4006.614796,3.391332385,307.0371239,2019,12,30
"Other native forest","lightning",445,149.66,-37.68,"Native forest",1,3.542857143,20.39285714,24.64285714,16.76428571,15549.53118,36790.63998,3.391332385,324.4810299,2019,12,30
"Eucalypt Tall Open","lightning",446,148.8400033,-37.62,"Native forest",1,2.15,20.30714286,26.47142857,15.44285714,18746.05971,13554.14877,3.391332385,332.8626335,2019,12,30
"Eucalypt Tall Open","lightning",447,149.06,-37.5,"Native forest",1,3.571428571,18.23928571,25.73571429,14.48928571,11457.24411,16308.56891,3.391332385,232.7536195,2019,12,30
"Eucalypt Medium Open","lightning",448,149.6250025,-37.52,"Native forest",1,3.542857143,20.39285714,24.64285714,16.76428571,6511.866287,31988.09302,3.391332385,871.8490312,2019,12,30
"Eucalypt Mallee Woodland","lightning",449,141.449995,-37.089995,"Native forest",1,0.392857143,24.21785714,31.77142857,13.93928571,8304.007838,57527.4213,4.076911831,10.20556916,2019,12,31
"Eucalypt Medium Woodland","lightning",450,141.1666633,-37.35333333,"Native forest",1,0.235714286,23.72142857,30.86785714,12.71428571,4745.490995,25932.24855,4.076911831,177.5136686,2019,12,31
"Eucalypt Mallee Woodland","lightning",451,141.3250033,-35.77166333,"Native forest",1,0.378571429,23.41785714,33.425,14.81071429,41538.49005,28423.40271,4.878858899,5233.475384,2019,12,31
"Eucalypt Mallee Woodland","lightning",452,141.22,-35.86,"Native forest",1,0.378571429,23.41785714,33.425,14.81071429,31144.33221,39208.23405,4.878858899,821.8937001,2019,12,31
"Eucalypt Medium Woodland","lightning",453,141.8699975,-38.07999667,"Native forest",1,0.678571429,21.23928571,21.85,16.15714286,6560.205564,23766.45707,4.076911831,462.0617664,2019,12,31
"Eucalypt Tall Open","lightning",454,149.0766692,-37.58999833,"Native forest",1,3.414285714,19.07857143,26.20714286,14.34285714,7117.214404,14769.28341,3.391332385,507.546364,2019,12,31
"Eucalypt Medium Open","lightning",455,149.0733333,-37.68666667,"Native forest",1,3.489285714,21.61071429,26.66428571,16.31785714,12640.48717,5901.936195,3.391332385,585.3728784,2019,12,31
"Eucalypt Medium Open","lightning",456,149.199995,-37.5849975,"Native forest",1,3.489285714,21.61071429,26.66428571,16.31785714,4505.501351,6736.467196,3.391332385,853.1344671,2019,12,31
"Rainforest","lightning",457,149.09334,-37.42666333,"Native forest",1,3.414285714,19.07857143,26.20714286,14.34285714,16910.66614,7860.38089,3.391332385,455.4934544,2019,12,31
"Other native forest","lightning",458,149.7030715,-37.55076615,"Native forest",1,3.4,21.27142857,24.78214286,16.61785714,4422.083931,38559.84501,3.391332385,212.3005658,2019,12,31
"Eucalypt Medium Open","lightning",459,148.13,-37.06,"Native forest",1,2.621428571,20.52857143,25.00357143,11.95,18751.98349,22390.92953,3.391332385,557.2711525,2019,12,31
"Eucalypt Medium Open","lightning",460,148.189995,-37.06,"Native forest",1,2.528571429,20.21785714,25.37142857,12.28214286,15737.36488,19614.24834,2.929540108,1698.240591,2020,1,1
"Eucalypt Tall Open","accident",461,147.6288889,-37.37333333,"Native forest",1,2.535714286,22.70714286,27.94642857,11.88571429,14741.62148,4362.177625,4.068323355,3.247644465,2020,1,1
"Eucalypt Medium Woodland","lightning",462,147.3466667,-36.99333333,"Native forest",1,3.907142857,23.94285714,18.3,9.507142857,8599.038817,12464.95707,2.929540108,574.7515966,2020,1,1
"Eucalypt Medium Open","accident",463,146.67999,-36.92,"Native forest",1,3.442857143,24.68214286,26.80357143,12.78214286,29887.34549,2560.966812,5.250054803,23.77851904,2020,1,1
"Eucalypt Tall Open","lightning",464,147.28,-37.07999,"Native forest",1,4.635714286,23.85,17.38571429,8.742857143,7267.739835,3265.429722,4.068323355,594.3450593,2020,1,1
"Eucalypt Medium Open","lightning",465,146.7685686,-36.94856571,"Native forest",1,5.578571429,23.85,17.91428571,8.975,31004.48581,4980.38767,5.250054803,965.553191,2020,1,1
"Eucalypt Medium Woodland","lightning",466,147.29999,-36.99,"Native forest",1,3.907142857,23.94285714,18.3,9.507142857,6224.63043,12304.61689,2.929540108,1320.336071,2020,1,1
"Eucalypt Tall Open","lightning",467,147.09334,-37.08666,"Native forest",1,4.635714286,23.85,17.38571429,8.742857143,11761.35076,19837.93334,4.068323355,521.8145265,2020,1,1
"Eucalypt Tall Open","lightning",468,147,-37.1,"Native forest",1,4.635714286,23.85,17.38571429,8.742857143,17995.25093,16287.19144,5.250054803,1088.629471,2020,1,1
"Acacia","lightning",469,147.79999,-37.42,"Native forest",1,2.535714286,22.70714286,27.94642857,11.88571429,5842.825616,15691.85981,4.068323355,134.9126344,2020,1,1
"Eucalypt Medium Open","lightning",470,147,-37.02,"Native forest",1,4.635714286,23.85,17.38571429,8.742857143,15012.88243,8689.031967,5.250054803,919.6221077,2020,1,1
"Eucalypt Tall Closed","lightning",471,147.72,-36.5,"Native forest",1,2.164285714,24.06071429,29.87142857,15.58571429,20309.58108,5658.223942,4.332080148,1358.258866,2020,1,1
"Acacia","lightning",472,148.009995,-37.52,"Native forest",1,2.664285714,21.16785714,26.49285714,15.21428571,14669.8722,13135.3122,4.068323355,529.0672612,2020,1,1
"Eucalypt Tall Open","lightning",473,147.729995,-36.43999,"Native forest",1,2.164285714,24.06071429,29.87142857,15.58571429,18766.79698,6173.470445,4.332080148,236.6670232,2020,1,1
"Eucalypt Tall Closed","lightning",474,147.727994,-37.372,"Native forest",1,2.535714286,22.70714286,27.94642857,11.88571429,9560.073376,9959.387965,4.068323355,134.223873,2020,1,1
"Eucalypt Medium Open","lightning",475,148.19333,-36.6,"Native forest",1,1.946428571,22.15357143,31.76071429,14.81428571,14819.94118,23470.08869,4.332080148,5239.022427,2020,1,1
"Eucalypt Medium Woodland","lightning",476,147.090005,-37.2,"Native forest",1,4.635714286,23.68214286,17.49285714,8.928571429,23861.13935,22255.19363,5.250054803,748.3584014,2020,1,2
"Eucalypt Tall Open","lightning",477,147.8824963,-36.6575,"Native forest",1,2.207142857,23.975,30.51071429,15.53571429,36762.00644,12106.78962,4.332080148,225.1469266,2020,1,2
"Eucalypt Medium Open","lightning",478,147.9399967,-36.31333333,"Native forest",1,1.946428571,22.21071429,31.66785714,14.875,8074.497535,3175.831074,4.332080148,209.1156386,2020,1,2
"Eucalypt Medium Open","lightning",479,148.16,-37.4,"Native forest",1,2.528571429,20.15,25.54642857,12.49642857,11209.44456,6112.311712,2.929540108,1221.987057,2020,1,2
"Eucalypt Tall Open","lightning",480,147.8733333,-37.10666667,"Native forest",1,2.535714286,22.54285714,28.06071429,12.075,22103.16268,11673.69868,2.929540108,1030.340595,2020,1,2
"Eucalypt Tall Open","lightning",481,148.469995,-37.38,"Native forest",1,2.528571429,20.15,25.54642857,12.49642857,21329.34307,21392.46748,2.929540108,1181.773289,2020,1,2
"Other native forest","accident",482,148.8999967,-37.78,"Native forest",1,3.467857143,21.46071429,27.21428571,16.79285714,6133.070232,21597.65641,4.068323355,127.3348729,2020,1,2
"Eucalypt Tall Open","lightning",483,146.47333,-37.93999667,"Native forest",1,2.471428571,21.56428571,19.19285714,10.30714286,2156.221806,6633.802623,4.585117897,723.3540191,2020,1,2
"Eucalypt Tall Closed","lightning",484,146.53,-37.24,"Native forest",1,2.842857143,23.18214286,19.06428571,10.51785714,12590.60257,5927.635344,4.763162256,638.8408236,2020,1,2
"Eucalypt Tall Open","lightning",485,148.01999,-36.51,"Native forest",1,1.946428571,22.21071429,31.94285714,14.675,25524.89074,6343.815986,4.332080148,1902.998336,2020,1,2
"Eucalypt Tall Closed","lightning",486,147.94,-36.57999,"Native forest",1,2.207142857,23.975,30.51071429,15.53571429,31908.12803,6679.467008,4.332080148,1730.396393,2020,1,2
"Eucalypt Medium Woodland","lightning",487,147.1999967,-37.07999,"Native forest",1,4.635714286,23.68214286,17.49285714,8.928571429,7508.913991,9755.277289,4.068323355,2575.569301,2020,1,2
"Eucalypt Medium Woodland","lightning",488,147.29999,-37.07999,"Native forest",1,4.635714286,23.68214286,17.49285714,8.928571429,8242.223839,2354.249884,2.929540108,1626.001032,2020,1,2
"Eucalypt Medium Woodland","lightning",489,148.28,-36.98,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,23009.90288,26716.46647,2.929540108,1827.942289,2020,1,3
"Eucalypt Medium Open","lightning",490,148.2133333,-37.06,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,14926.19251,18839.02038,2.929540108,353.9332215,2020,1,3
"Eucalypt Medium Woodland","accident",491,142.390433,-37.56695609,"Native forest",1,0.385714286,23.48214286,30.5,12.82142857,5984.952251,41391.14812,3.341769584,120.5523842,2020,1,3
"Eucalypt Medium Woodland","accident",492,142.189995,-37.41,"Native forest",1,0.385714286,23.48214286,30.5,12.82142857,5311.721308,16469.62843,3.341769584,182.278991,2020,1,3
"Non forest","accident",493,142.4033313,-37.40249792,"Non forest",0,0.764285714,25.54642857,24.73214286,12.95,564.1727206,32863.34514,3.341769584,395.5335564,2020,1,3
"Non forest","accident",494,142.32001,-37.429995,"Non forest",0,0.764285714,25.54642857,24.73214286,12.95,7534.299233,27645.69943,3.341769584,396.1006244,2020,1,3
"Non forest","accident",495,142.37,-37.7349975,"Non forest",0,0.385714286,23.48214286,30.5,12.82142857,7813.342216,54476.1834,3.341769584,580.734274,2020,1,3
"Eucalypt Medium Open","lightning",496,146.75,-36.79,"Native forest",1,2.707142857,24.65714286,25.77857143,12.10714286,16241.20005,9047.801158,4.068323355,1409.846645,2020,1,3
"Eucalypt Medium Woodland","accident",497,141.78,-37.1,"Native forest",1,0.271428571,25.38214286,32.86428571,13.45357143,6938.596496,25350.29451,3.341769584,68.43448001,2020,1,3
"Non forest","lightning",498,142.16,-37.5,"Non forest",0,0.385714286,23.48214286,30.5,12.82142857,11171.9377,22421.87163,3.341769584,944.7001056,2020,1,3
"Non forest","accident",499,142.14,-37.54,"Non forest",0,0.385714286,23.48214286,30.5,12.82142857,8999.143798,25761.00491,3.341769584,185.1302272,2020,1,3
"Non forest","lightning",500,147.830005,-36.88,"Non forest",0,2.535714286,22.51428571,27.95714286,12.025,14047.63083,36954.55726,2.929540108,204.9720124,2020,1,3
"Eucalypt Mallee Woodland","lightning",501,141.3407129,-34.8064275,"Native forest",1,0.207142857,25.91428571,37.27857143,18.37857143,46458.38516,78431.96649,5.449252113,10561.15665,2020,1,3
"Eucalypt Mallee Woodland","lightning",502,141.4768389,-34.88736789,"Native forest",1,0.207142857,25.91428571,37.27857143,18.37857143,39529.03168,70772.99202,5.250054803,5492.76882,2020,1,3
"Eucalypt Medium Woodland","lightning",503,148.34,-36.86,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,25827.9733,40392.6904,4.332080148,772.6865338,2020,1,3
"Eucalypt Mallee Woodland","lightning",504,141.44,-34.749995,"Native forest",1,0.207142857,25.91428571,37.27857143,18.37857143,41347.77374,85332.53922,5.250054803,4428.226294,2020,1,3
"Eucalypt Medium Open","lightning",505,147.949995,-36.3,"Native forest",1,1.567857143,22.26071429,31.75714286,14.94642857,7136.757935,4886.050848,4.332080148,1099.004619,2020,1,3
"Non forest","lightning",506,142.189995,-38.12,"Non forest",0,0.428571429,22.47142857,26.14642857,13.23928571,7402.424649,46739.8478,3.341769584,1439.679733,2020,1,3
"Non forest","accident",507,142.67999,-37.96,"Non forest",0,0.457142857,23.06428571,30,11.48571429,4131.584068,89274.66678,5.822616729,50.16339087,2020,1,3
"Softwood plantation","accident",508,141.14,-38.089995,"Commercial plantation",1,0.321428571,23.89642857,29.18571429,13.29642857,12905.09531,22331.83737,3.341769584,82.20107113,2020,1,3
"Non forest","lightning",509,141.60001,-34.9,"Non forest",0,0.207142857,25.91428571,37.27857143,18.37857143,35581.10597,72392.49526,5.250054803,731.975652,2020,1,3
"Eucalypt Medium Woodland","accident",510,143.43,-38.52,"Native forest",1,2.107142857,22.58214286,22.81785714,15.875,5712.283631,14417.00692,5.822616729,601.5150077,2020,1,3
"Eucalypt Medium Woodland","accident",511,143.38,-38.57999,"Native forest",1,2.107142857,22.58214286,22.81785714,15.875,2330.618925,21346.15565,5.822616729,360.1187441,2020,1,3
"Other native forest","lightning",512,148.18666,-36.68666667,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,23064.23284,28076.75599,4.332080148,6287.901774,2020,1,3
"Non forest","accident",513,143.44,-37.83,"Non forest",0,0.335714286,23.475,30.97142857,11.81785714,7213.787626,30351.82489,5.822616729,1276.291544,2020,1,3
"Eucalypt Medium Open","accident",514,143.4399967,-38.569995,"Native forest",1,2.107142857,22.58214286,22.81785714,15.875,4355.329466,16308.78068,5.822616729,74.36925672,2020,1,3
"Non forest","accident",515,141.979997,-37.907997,"Non forest",0,0.385714286,23.48214286,30.5,12.82142857,2897.315343,37626.80616,3.341769584,173.5741435,2020,1,3
"Eucalypt Medium Open","lightning",516,141.769995,-38.079995,"Native forest",1,0.685714286,21.53214286,21.61785714,16.43214286,6407.242082,18785.39832,3.341769584,682.6440377,2020,1,3
"Non forest","accident",517,142.02,-38.06,"Non forest",0,0.264285714,22.5,24.87857143,14.63214286,3547.592549,35560.79611,3.341769584,274.5369989,2020,1,3
"Eucalypt Tall Open","lightning",518,148.92,-37.41,"Native forest",1,3.364285714,19.01071429,26.37142857,14.75714286,21428.07341,2484.345535,2.929540108,967.5705523,2020,1,3
"Eucalypt Tall Open","lightning",519,148.82001,-37.36,"Native forest",1,3.364285714,19.01071429,26.37142857,14.75714286,11098.49372,8188.44423,2.929540108,272.1391464,2020,1,3
"Eucalypt Tall Open","lightning",520,148.509995,-37.43999667,"Native forest",1,2.085714286,21,27.06785714,15.65714286,20859.01864,20165.78451,2.929540108,527.3223233,2020,1,3
"Eucalypt Medium Open","lightning",521,149.3125025,-37.2799975,"Native forest",1,3.364285714,19.01071429,26.37142857,14.75714286,32266.93352,21227.40969,2.929540108,1940.107363,2020,1,3
"Eucalypt Medium Open","lightning",522,148.23999,-37.38,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,14693.32553,8471.491008,2.929540108,1835.759549,2020,1,3
"Eucalypt Medium Open","lightning",523,148.772004,-37.34,"Native forest",1,3.364285714,19.01071429,26.37142857,14.75714286,6423.688845,6402.99497,2.929540108,977.8360274,2020,1,3
"Eucalypt Tall Open","lightning",524,149.050005,-37.39,"Native forest",1,3.364285714,19.01071429,26.37142857,14.75714286,22127.42902,5509.060537,2.929540108,523.5775051,2020,1,3
"Eucalypt Low Woodland","lightning",525,148.22,-37.2,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,4556.055162,5948.458536,2.929540108,736.4056767,2020,1,3
"Eucalypt Tall Open","lightning",526,148.45999,-37.35,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,21643.90287,21503.75704,2.929540108,189.4425105,2020,1,3
"Eucalypt Tall Open","lightning",527,147.72,-36.42,"Native forest",1,1.85,24.15357143,30.13928571,15.58214286,17582.15355,8438.764311,4.332080148,1070.899122,2020,1,3
"Eucalypt Medium Open","lightning",528,148.51999,-37.18,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,13828.22814,21801.85795,2.929540108,81.83260722,2020,1,3
"Eucalypt Tall Open","lightning",529,148.34,-37.66,"Native forest",1,2.085714286,21,27.06785714,15.65714286,11728.86241,2639.996984,4.068323355,457.3666558,2020,1,3
"Eucalypt Low Open","lightning",530,147.73999,-37.36,"Native forest",1,2.535714286,22.51428571,27.95714286,12.025,8651.79304,11541.4698,4.068323355,753.7665425,2020,1,3
"Eucalypt Medium Open","lightning",531,148.389995,-37.18,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,10923.15348,10694.50505,2.929540108,2199.39819,2020,1,3
"Eucalypt Medium Open","lightning",532,148.10001,-37.48,"Native forest",1,2.664285714,20.76071429,26.46428571,15.41428571,6838.881739,11184.03264,4.068323355,738.455958,2020,1,3
"Non forest","lightning",533,149.169995,-37.47,"Non forest",0,3.364285714,19.01071429,26.37142857,14.75714286,11345.62108,14351.36621,2.929540108,145.2199036,2020,1,3
"Eucalypt Tall Open","lightning",534,148.110005,-37.34,"Native forest",1,2.528571429,20.19285714,25.33928571,12.46428571,18671.29954,3550.151878,2.929540108,517.1846512,2020,1,3
"Eucalypt Tall Open","lightning",535,148.189995,-37.56,"Native forest",1,2.664285714,20.76071429,26.46428571,15.41428571,6814.77568,9586.260943,4.068323355,448.2677675,2020,1,3
"Non forest","accident",536,147.48,-37.06,"Non forest",0,2.25,22.24642857,28.29285714,12.04642857,7196.172361,16205.40883,2.929540108,86.02089822,2020,1,4
"Eucalypt Medium Open","lightning",537,148.6849925,-37.225,"Native forest",1,2.971428571,19.61428571,27.01785714,14.91071429,12002.67022,11302.39864,2.929540108,1653.692273,2020,1,4
"Eucalypt Medium Open","lightning",538,148.0077767,-37.54222167,"Native forest",1,1.664285714,20.83928571,27.06071429,15.56785714,15422.88503,12533.28274,4.068323355,787.8000911,2020,1,4
"Eucalypt Medium Open","accident",539,146.969995,-37.02,"Native forest",1,3.25,23.65357143,17.88571429,9.267857143,16191.09629,7083.441492,5.250054803,93.25713886,2020,1,4
"Eucalypt Medium Woodland","lightning",540,147.9114271,-37.42856714,"Native forest",1,1.664285714,20.83928571,27.06071429,15.56785714,9048.425805,14059.26772,4.068323355,819.443719,2020,1,4
"Eucalypt Tall Open","lightning",541,148.4266667,-37.43332667,"Native forest",1,2.078571429,20.41785714,25.86785714,12.6,23965.53509,18635.19436,2.929540108,1055.167883,2020,1,4
"Eucalypt Tall Open","lightning",542,148,-36.86,"Native forest",1,2.25,22.24642857,28.29285714,12.04642857,28526.98221,36507.01461,4.332080148,1412.277002,2020,1,4
"Non forest","accident",543,145.590005,-36.78,"Non forest",0,1.442857143,23.76071429,30.325,13.43214286,3139.892028,24793.5454,4.763162256,114.4677515,2020,1,4
"Eucalypt Tall Open","lightning",544,147.94,-36.42,"Native forest",1,1.196428571,22.225,32.38214286,14.5,15349.84955,7708.121804,4.332080148,724.1142695,2020,1,4
"Eucalypt Medium Open","lightning",545,146.9399975,-37.215,"Native forest",1,3.578571429,23.65357143,17.92142857,9.328571429,31136.55387,15694.68194,5.250054803,1568.212773,2020,1,4
"Eucalypt Tall Open","lightning",546,147.67999,-36.62,"Native forest",1,1.471428571,23.86071429,29.74642857,15.25357143,18991.06483,16215.09318,4.332080148,2831.618684,2020,1,4
"Non forest","accident",547,147.76,-35.96666667,"Non forest",0,1.196428571,22.225,32.10714286,14.7,2318.582203,25631.22839,4.332080148,105.4162837,2020,1,4
"Eucalypt Medium Open","lightning",548,148.065,-36.424995,"Native forest",1,1.196428571,22.225,32.38214286,14.5,16448.22303,14760.52832,4.332080148,1761.12755,2020,1,4
"Eucalypt Medium Open","lightning",549,146.64,-37.32,"Native forest",1,2.307142857,23.33571429,19.6,10.96071429,25672.56279,16710.35159,4.763162256,1042.64512,2020,1,4
"Non forest","lightning",550,147.64,-36,"Non forest",0,1.639285714,22.98214286,27.38571429,15.20714286,9662.728926,16060.82257,4.332080148,729.0972346,2020,1,4
"Eucalypt Tall Closed","lightning",551,148.12,-36.54,"Native forest",1,1.196428571,22.225,32.38214286,14.5,17255.03448,15336.91144,4.332080148,393.7765737,2020,1,4
"Eucalypt Medium Woodland","lightning",552,147.2533367,-37.18666667,"Native forest",1,3.107142857,23.65357143,18.83214286,9.860714286,18339.34973,10660.64111,4.068323355,957.6024864,2020,1,4
"Non forest","accident",553,147.449995,-35.96,"Non forest",0,1.639285714,22.98214286,27.38571429,15.20714286,4375.456582,20721.78929,4.332080148,335.6606678,2020,1,4
"Eucalypt Tall Open","lightning",554,149.5,-37.32,"Native forest",1,2.85,21.09285714,25.34642857,17.08928571,24042.63815,34330.81217,2.929540108,1133.097861,2020,1,4
"Eucalypt Medium Open","lightning",555,149.45999,-37.32,"Native forest",1,2.971428571,19.61428571,27.01785714,14.91071429,26566.90055,32338.89635,2.929540108,1231.932843,2020,1,4
"Eucalypt Medium Open","accident",556,149.689995,-37.47,"Native forest",1,2.85,21.09285714,25.34642857,17.08928571,1553.393853,38920.09276,2.929540108,392.5798405,2020,1,4
"Eucalypt Medium Open","lightning",557,149.2533367,-37.72666667,"Native forest",1,2.864285714,21.75,27.30714286,16.83571429,19490.76045,10477.97507,2.929540108,663.5179203,2020,1,4
"Softwood plantation","lightning",558,146.5911144,-36.68666667,"Commercial plantation",1,2.435714286,24.21785714,33.59642857,15.00357143,10931.10011,16284.21193,4.068323355,285.3888118,2020,1,7
"Eucalypt Tall Closed","lightning",559,146.669995,-36.75999,"Native forest",1,3.228571429,24.21785714,26.99285714,13.19642857,12255.631,6923.472672,4.068323355,657.8920587,2020,1,7
"Eucalypt Medium Open","lightning",560,146.72,-36.84,"Native forest",1,3.228571429,23.98571429,26.25357143,12.53928571,21113.61333,3980.691481,4.068323355,132.1216358,2020,1,8
"Eucalypt Medium Open","lightning",561,147.71,-36.32,"Native forest",1,1.339285714,22.44285714,27.73571429,15.87142857,12558.33741,18778.01581,4.332080148,612.4753158,2020,1,8
"Eucalypt Medium Woodland","lightning",562,147.81,-36.02,"Native forest",1,1.053571429,22.00357143,32.78928571,14.42142857,9566.499575,23616.89878,4.332080148,316.8826707,2020,1,8
"Eucalypt Medium Open","lightning",563,146.6200033,-36.93999,"Native forest",1,3.228571429,23.98571429,26.92142857,13.18571429,22961.5911,8339.186687,5.250054803,2137.089272,2020,1,8
"Eucalypt Medium Open","lightning",564,146.62,-36.84,"Native forest",1,3.228571429,23.98571429,26.92142857,13.18571429,17487.95089,4202.135547,5.250054803,1379.858889,2020,1,8
"Eucalypt Medium Open","lightning",565,147.79999,-36.38,"Native forest",1,1.053571429,22.00357143,32.78928571,14.42142857,9792.357799,11266.76394,4.332080148,291.382544,2020,1,8
"Eucalypt Medium Woodland","lightning",566,148.090005,-36.78,"Native forest",1,0.857142857,20.26785714,26.41428571,12.83571429,36385.91261,31435.50635,4.332080148,277.3197097,2020,1,9
"Eucalypt Medium Open","lightning",567,148.08,-36.63,"Native forest",1,1.053571429,21.86785714,32.73928571,14.06428571,24742.81677,16818.47831,4.332080148,3189.945208,2020,1,9
"Eucalypt Medium Woodland","lightning",568,148.02,-37.06,"Native forest",1,0.857142857,20.26785714,26.41428571,12.83571429,26305.75202,20451.30245,2.929540108,2577.268601,2020,1,9
"Eucalypt Tall Open","lightning",569,148,-36.35,"Native forest",1,1.053571429,21.86785714,32.61071429,14.05357143,8078.5784,6851.627212,4.332080148,570.0648088,2020,1,9
"Eucalypt Medium Woodland","lightning",570,147.48,-37.18,"Native forest",1,1.985714286,21.875,28.55,12.16428571,12047.31643,10690.93294,4.068323355,651.3891652,2020,1,9
"Eucalypt Tall Open","lightning",571,147.37,-37.16,"Native forest",1,1.985714286,21.875,28.55,12.16428571,7547.9413,8247.773058,4.068323355,1389.135783,2020,1,9
"Eucalypt Low Open","lightning",572,147.0466733,-37.25332667,"Native forest",1,2.992857143,22.7,17.96785714,9.839285714,30591.56766,22797.86947,5.250054803,167.2292151,2020,1,9
"Eucalypt Medium Open","lightning",573,149.06,-37.569995,"Native forest",1,2.107142857,19.87142857,27.52142857,15.20714286,8293.985897,17361.28755,2.929540108,94.39208831,2020,1,9
"Eucalypt Tall Open","lightning",574,148.86,-37.67,"Native forest",1,0.4,20.69285714,27.81785714,16.05357143,13310.70983,14985.70281,2.929540108,677.14457,2020,1,9
"Eucalypt Medium Open","lightning",575,147.48,-37.03,"Native forest",1,1.985714286,21.875,28.55,12.16428571,4539.054298,17430.6346,2.929540108,220.9599614,2020,1,9
"Eucalypt Medium Open","lightning",576,147.51999,-37.54,"Native forest",1,0.764285714,21.16785714,27.88214286,14.56428571,24618.36487,10479.51829,4.068323355,396.2395406,2020,1,9
"Eucalypt Medium Open","lightning",577,146.95999,-36.93999,"Native forest",1,2.992857143,22.7,17.96785714,9.839285714,10406.18142,2747.986653,4.068323355,554.1952606,2020,1,9
"Eucalypt Medium Open","lightning",578,149.01999,-37.42,"Native forest",1,2.107142857,19.87142857,27.52142857,15.20714286,20568.82142,9767.613391,2.929540108,494.714391,2020,1,9
"Eucalypt Tall Open","lightning",579,147.71,-36.47,"Native forest",1,1.235714286,23.05714286,30.675,15.13571429,22528.1519,6187.38089,4.332080148,405.6612931,2020,1,9
"Eucalypt Medium Open","lightning",580,147.7249975,-36.564995,"Native forest",1,1.235714286,23.05714286,30.675,15.13571429,20707.36344,10588.46986,4.332080148,3496.246156,2020,1,9
"Eucalypt Tall Open","lightning",581,147.2999986,-37.30571429,"Native forest",1,1.985714286,21.875,28.55,12.16428571,17532.1969,2233.357993,4.068323355,955.6457925,2020,1,9
"Eucalypt Tall Woodland","lightning",582,147.9149975,-37.274995,"Native forest",1,0.857142857,20.26785714,26.41428571,12.83571429,13277.85678,5295.090416,2.929540108,104.854293,2020,1,9
"Eucalypt Medium Open","lightning",583,146.71714,-36.98571429,"Native forest",1,2.221428571,21.93214286,18.84285714,10.72857143,29789.6018,6357.057576,5.250054803,2057.410117,2020,1,10
"Eucalypt Medium Open","lightning",584,149.28,-37.34,"Native forest",1,2.107142857,19.67142857,26.96428571,14.83571429,28099.78666,16664.48643,2.929540108,37.57135413,2020,1,10
"Eucalypt Medium Open","lightning",585,149.1422222,-37.29777667,"Native forest",1,2.107142857,19.67142857,26.96428571,14.83571429,26037.90676,7733.849897,2.929540108,7.010904344,2020,1,10
"Acacia","lightning",586,148.5272727,-37.50181818,"Native forest",1,0.4,20.34642857,27.19642857,15.73214286,23151.09046,17235.67205,2.929540108,432.1379858,2020,1,10
"Eucalypt Medium Open","lightning",587,149.229995,-37.52,"Native forest",1,2.107142857,19.67142857,26.96428571,14.83571429,8952.985341,6631.355883,2.929540108,511.4842193,2020,1,10
"Eucalypt Medium Open","lightning",588,148.9872691,-37.68545455,"Native forest",1,1.078571429,21.48928571,27.05357143,17.39642857,8255.914392,13054.96212,2.929540108,101.2001886,2020,1,10
"Other native forest","lightning",589,149.1275,-37.6425,"Native forest",1,1.078571429,21.48928571,27.05357143,17.39642857,8244.92378,8200.008814,2.929540108,1401.716858,2020,1,10
"Eucalypt Tall Open","lightning",590,148.93,-37.64,"Native forest",1,2.107142857,19.67142857,26.96428571,14.83571429,13315.97681,19643.63566,2.929540108,88.13550815,2020,1,10
